LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.42387291562926804
Amygdala;DICE;STD;0.03711188354156954
Amygdala;HDRFDST;MEAN;15.638610190531745
Amygdala;HDRFDST;STD;1.0167946245907629
Hippocampus;DICE;MEAN;0.3504370103803206
Hippocampus;DICE;STD;0.015136108062880753
Hippocampus;HDRFDST;MEAN;20.992859445620972
Hippocampus;HDRFDST;STD;1.3037838380660807
Thalamus;DICE;MEAN;0.6286518492995858
Thalamus;DICE;STD;0.022291381668177387
Thalamus;HDRFDST;MEAN;28.0487931577521
Thalamus;HDRFDST;STD;4.633055405846022
